product_id,name,brand,unit_price,active,updated_at,category.name,category.department,quarantine_reason,order_id,customer_id,order_timestamp,quantity,discount_pct,status
P0078,Nova Networking 078,Nova,-199.0,True,2025-07-29 00:00:00+00:00,Networking,Computing,Invalid or negative unit_price,,,,,,
P0239,,,67525.62,,2026-06-15 02:34:00+00:00,,,Invalid quantity or status,O0000005,C02247,2026-06-12 12:34:00+00:00,8.0,0.0,PAID
P0584,,,261.24,,2025-03-28 14:20:00+00:00,,,Invalid quantity or status,O0000009,C02058,2025-03-26 07:20:00+00:00,4.0,0.1,PACKED
P0258,,,57049.13,,2025-03-09 00:37:00+00:00,,,Invalid quantity or status,O0000010,C00388,2025-03-08 11:37:00+00:00,8.0,0.0,PACKED
P0129,,,77576.92,,2025-11-21 19:43:00+00:00,,,Invalid quantity or status,O0000011,C00647,2025-11-19 08:43:00+00:00,8.0,0.1,PAID
P0524,,,71131.29,,2025-04-11 08:43:00+00:00,,,Invalid quantity or status,O0000012,C01859,2025-04-08 10:43:00+00:00,6.0,0.0,PAID
P0364,,,51326.98,,2025-11-15 22:41:00+00:00,,,Invalid quantity or status,O0000018,C01466,2025-11-15 02:41:00+00:00,6.0,0.0,PACKED
P0258,,,57049.13,,2025-12-13 03:32:00+00:00,,,Invalid quantity or status,O0000019,C01127,2025-12-11 15:32:00+00:00,1.0,0.15,PAID
P0123,,,70265.32,,2025-09-29 21:47:00+00:00,,,Invalid quantity or status,O0000021,C02528,2025-09-27 21:47:00+00:00,3.0,0.15,PACKED
P0322,,,43814.63,,2026-04-27 15:02:00+00:00,,,Invalid quantity or status,O0000022,C02745,2026-04-25 18:02:00+00:00,3.0,0.15,PAID
P0371,,,2126.94,,2026-07-05 17:14:00+00:00,,,Invalid quantity or status,O0000025,C00625,2026-07-04 09:14:00+00:00,7.0,0.05,PAID
P0272,,,45374.87,,2025-01-08 05:47:00+00:00,,,Invalid quantity or status,O0000028,C01492,2025-01-07 02:47:00+00:00,7.0,0.15,PAID
P0310,,,35928.91,,2025-12-07 17:21:00+00:00,,,Invalid quantity or status,O0000032,C02455,2025-12-06 05:21:00+00:00,5.0,0.05,PAID
P0340,,,60718.41,,2026-03-28 16:37:00+00:00,,,Invalid quantity or status,O0000035,C02868,2026-03-26 19:37:00+00:00,3.0,0.15,PAID
P0344,,,2785.93,,2026-05-29 17:59:00+00:00,,,Invalid quantity or status,O0000036,C01773,2026-05-28 10:59:00+00:00,5.0,0.0,PAID
P0067,,,68969.66,,2026-02-15 03:05:00+00:00,,,Invalid quantity or status,O0000037,C02150,2026-02-12 09:05:00+00:00,3.0,0.0,PAID
P0343,,,26854.39,,2025-09-09 10:51:00+00:00,,,Invalid quantity or status,O0000039,C00913,2025-09-07 08:51:00+00:00,3.0,0.0,PACKED
P0088,,,55185.22,,2026-03-13 11:42:00+00:00,,,Invalid quantity or status,O0000042,C00647,2026-03-12 11:42:00+00:00,2.0,0.05,PACKED
P0398,,,62692.66,,2026-08-14 08:15:00+00:00,,,Invalid quantity or status,O0000045,C01540,2026-08-13 10:15:00+00:00,2.0,0.15,PAID
P0509,,,50305.42,,2025-09-20 17:52:00+00:00,,,Invalid quantity or status,O0000046,C01978,2025-09-17 21:52:00+00:00,8.0,0.15,PACKED
P0119,,,52861.96,,2025-07-16 03:17:00+00:00,,,Invalid quantity or status,O0000047,C01519,2025-07-15 03:17:00+00:00,2.0,0.0,PACKED
P0018,,,39315.77,,2026-01-07 01:37:00+00:00,,,Invalid quantity or status,O0000052,C01011,2026-01-05 22:37:00+00:00,3.0,0.0,PAID
P0380,,,40150.81,,2025-12-27 06:03:00+00:00,,,Invalid quantity or status,O0000062,C01909,2025-12-24 17:03:00+00:00,2.0,0.0,PACKED
P0039,,,54778.38,,2026-01-06 18:37:00+00:00,,,Invalid quantity or status,O0000069,C02044,2026-01-03 19:37:00+00:00,1.0,0.05,PAID
